{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 49, 26, 31720)}
{'score': 40, 'nbCoups': 13, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 14, 50, 30, 609695)}
{'score': 40, 'nbCoups': 11, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 14, 29, 656526)}
{'score': 380, 'nbCoups': 19, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 16, 41, 368239)}
{'score': 100, 'nbCoups': 16, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 17, 54, 57152)}
{'score': 80, 'nbCoups': 15, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 22, 12, 183887)}
{'score': 300, 'nbCoups': 23, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 25, 5, 24805)}
{'score': 1560, 'nbCoups': 83, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 25, 56, 381510)}
{'score': 67780, 'nbCoups': 2884, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 26, 17, 113136)}
{'score': 5160, 'nbCoups': 220, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 31, 45, 524048)}
{'score': 7000, 'nbCoups': 318, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 31, 51, 678023)}
{'score': 2900, 'nbCoups': 142, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 32, 45, 105163)}
{'score': 7660, 'nbCoups': 342, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 33, 4, 907475)}
{'score': 19100, 'nbCoups': 823, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 15, 34, 8, 121905)}
{'score': 1260, 'nbCoups': 52, 'nbCoupsMax': 1000, 'date': datetime.datetime(2026, 5, 25, 15, 40, 39, 89540)}
{'score': 23620, 'nbCoups': 1000, 'nbCoupsMax': 1000, 'date': datetime.datetime(2026, 5, 25, 15, 41, 4, 718348)}
{'score': 23540, 'nbCoups': 1000, 'nbCoupsMax': 1000, 'date': datetime.datetime(2026, 5, 25, 15, 41, 24, 179421)}
{'score': 0, 'nbCoups': 7, 'nbCoupsMax': 1000, 'date': datetime.datetime(2026, 5, 25, 15, 42, 12, 52379)}
{'score': 180, 'nbCoups': 14, 'nbCoupsMax': 1000, 'date': datetime.datetime(2026, 5, 25, 15, 42, 49, 663443)}
